timestamp,level,message,user_id,client_id,rid,error_code,close_reason,metadata
2026-06-03T13:40:08.123Z,info,POST /api/admin/v1/schema,,,h/019e8db6-7b4c-7659-a71e-38099da64ca0,,,"{""duration_ms"":1007,""method"":""POST"",""path"":""/api/admin/v1/schema"",""route"":""/api/admin/v1/schema"",""status"":200}"
2026-06-03T13:41:09.353Z,info,Successfully registered Module Core.,,,,,,
2026-06-03T13:41:09.355Z,info,Successfully registered Module Custom Checkpoint.,,,,,,
2026-06-03T13:41:09.355Z,info,Successfully registered Module SDK Reporting.,,,,,,
2026-06-03T13:41:09.357Z,info,"Booting PowerSync Service v1.21.0, API Container, Cloud Edition",,,,,,"{""edition"":""Cloud Edition"",""runner"":""API Container"",""version"":""1.21.0""}"
2026-06-03T13:41:09.359Z,info,Collecting PowerSync configuration from File: /powersync/config/config.json,,,,,,
2026-06-03T13:41:09.362Z,warn,"Supabase connection string found, but Supabase Auth is not enabled in the config.",,,,,,
2026-06-03T13:41:09.363Z,info,"Configured logger with level ""info"" and format ""json""",,,,,,
2026-06-03T13:41:09.364Z,info,Loading dynamic modules...,,,,,,
2026-06-03T13:41:10.648Z,info,Successfully registered Module Postgres.,,,,,,
2026-06-03T13:41:10.650Z,info,Successfully registered Module MongoDB Bucket Storage.,,,,,,
2026-06-03T13:41:10.650Z,info,Successfully loaded dynamic modules.,,,,,,
2026-06-03T13:41:10.650Z,info,Initializing modules...,,,,,,
2026-06-03T13:41:10.688Z,info,Successfully Initialized modules.,,,,,,
2026-06-03T13:41:10.688Z,info,Starting service,,,,,,
2026-06-03T13:41:10.688Z,info,Starting Storage Engine...,,,,,,
2026-06-03T13:41:10.800Z,info,Successfully activated storage: mongodb.,,,,,,
2026-06-03T13:41:10.800Z,info,Successfully started Storage Engine.,,,,,,
2026-06-03T13:41:10.800Z,info,Starting Router Engine...,,,,,,
2026-06-03T13:41:10.868Z,info,Running on port 8080,,,,,,
2026-06-03T13:41:10.868Z,info,Successfully started Router Engine.,,,,,,
2026-06-03T13:41:10.868Z,info,Prometheus metric export enabled on port:9464,,,,,,
2026-06-03T13:41:10.876Z,info,"Attention:
PowerSync collects completely anonymous telemetry regarding usage.
This information is used to shape our roadmap to better serve our customers.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://docs.powersync.com/self-hosting/lifecycle-maintenance/telemetry",,,,,,
2026-06-03T13:41:10.876Z,info,Anonymous telemetry is currently: disabled,,,,,,
2026-06-03T13:41:10.876Z,info,Successfully started Metrics Engine.,,,,,,
2026-06-03T13:41:10.876Z,info,Service started,,,,,,
2026-06-03T13:41:38.787Z,info,Terminating gracefully ...,,,,,,
2026-06-03T13:41:38.787Z,info,Successfully shut down Metrics Engine.,,,,,,
2026-06-03T13:41:38.788Z,info,"Shutting down EmitterEngine and removing all listeners for sdk-connect-event, sdk-disconnect-event, sdk-delete-old.",,,,,,
2026-06-03T13:41:38.788Z,info,Shutting down Router Engine...,,,,,,
2026-06-03T13:41:38.788Z,info,Closing 0 streams.,,,,,,
2026-06-03T13:41:38.788Z,info,Running cleanup.,,,,,,
2026-06-03T13:41:38.788Z,info,Shutting down HTTP server...,,,,,,
2026-06-03T13:41:38.788Z,info,HTTP server stopped,,,,,,
2026-06-03T13:41:38.789Z,info,Successfully shut down Router Engine.,,,,,,
2026-06-03T13:41:38.789Z,info,Shutting down Storage Engine...,,,,,,
2026-06-03T13:41:38.842Z,info,Successfully shut down Storage Engine.,,,,,,
2026-06-03T13:41:38.842Z,info,"Shutting down EmitterEngine and removing all listeners for sdk-connect-event, sdk-disconnect-event, sdk-delete-old.",,,,,,
2026-06-03T13:41:38.843Z,info,Exiting,,,,,,
2026-06-03T13:54:08.874Z,info,Successfully registered Module Core.,,,,,,
2026-06-03T13:54:08.875Z,info,Successfully registered Module Custom Checkpoint.,,,,,,
2026-06-03T13:54:08.876Z,info,Successfully registered Module SDK Reporting.,,,,,,
2026-06-03T13:54:08.878Z,info,"Booting PowerSync Service v1.21.0, API Container, Cloud Edition",,,,,,"{""edition"":""Cloud Edition"",""runner"":""API Container"",""version"":""1.21.0""}"
2026-06-03T13:54:08.880Z,info,Collecting PowerSync configuration from File: /powersync/config/config.json,,,,,,
2026-06-03T13:54:08.884Z,info,Configured Supabase Auth with https://burvwjzimfqjldmmzbfr.supabase.co/auth/v1/.well-known/jwks.json,,,,,,
2026-06-03T13:54:08.885Z,info,"Configured logger with level ""info"" and format ""json""",,,,,,
2026-06-03T13:54:08.886Z,info,Loading dynamic modules...,,,,,,
2026-06-03T13:54:10.324Z,info,Successfully registered Module Postgres.,,,,,,
2026-06-03T13:54:10.325Z,info,Successfully registered Module MongoDB Bucket Storage.,,,,,,
2026-06-03T13:54:10.325Z,info,Successfully loaded dynamic modules.,,,,,,
2026-06-03T13:54:10.325Z,info,Initializing modules...,,,,,,
2026-06-03T13:54:10.353Z,info,Successfully Initialized modules.,,,,,,
2026-06-03T13:54:10.354Z,info,Starting service,,,,,,
2026-06-03T13:54:10.354Z,info,Starting Storage Engine...,,,,,,
2026-06-03T13:54:10.458Z,info,Successfully activated storage: mongodb.,,,,,,
2026-06-03T13:54:10.458Z,info,Successfully started Storage Engine.,,,,,,
2026-06-03T13:54:10.459Z,info,Starting Router Engine...,,,,,,
2026-06-03T13:54:10.525Z,info,Running on port 8080,,,,,,
2026-06-03T13:54:10.525Z,info,Successfully started Router Engine.,,,,,,
2026-06-03T13:54:10.525Z,info,Prometheus metric export enabled on port:9464,,,,,,
2026-06-03T13:54:10.536Z,info,"Attention:
PowerSync collects completely anonymous telemetry regarding usage.
This information is used to shape our roadmap to better serve our customers.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://docs.powersync.com/self-hosting/lifecycle-maintenance/telemetry",,,,,,
2026-06-03T13:54:10.537Z,info,Anonymous telemetry is currently: disabled,,,,,,
2026-06-03T13:54:10.537Z,info,Successfully started Metrics Engine.,,,,,,
2026-06-03T13:54:10.537Z,info,Service started,,,,,,
2026-06-03T13:54:37.853Z,info,Terminating gracefully ...,,,,,,
2026-06-03T13:54:37.853Z,info,Successfully shut down Metrics Engine.,,,,,,
2026-06-03T13:54:37.853Z,info,"Shutting down EmitterEngine and removing all listeners for sdk-connect-event, sdk-disconnect-event, sdk-delete-old.",,,,,,
2026-06-03T13:54:37.853Z,info,Shutting down Router Engine...,,,,,,
2026-06-03T13:54:37.854Z,info,Closing 0 streams.,,,,,,
2026-06-03T13:54:37.854Z,info,Running cleanup.,,,,,,
2026-06-03T13:54:37.854Z,info,Shutting down HTTP server...,,,,,,
2026-06-03T13:54:37.854Z,info,HTTP server stopped,,,,,,
2026-06-03T13:54:37.854Z,info,Successfully shut down Router Engine.,,,,,,
2026-06-03T13:54:37.854Z,info,Shutting down Storage Engine...,,,,,,
2026-06-03T13:54:37.905Z,info,Successfully shut down Storage Engine.,,,,,,
2026-06-03T13:54:37.905Z,info,"Shutting down EmitterEngine and removing all listeners for sdk-connect-event, sdk-disconnect-event, sdk-delete-old.",,,,,,
2026-06-03T13:54:37.905Z,info,Exiting,,,,,,
